"201","allianceminorityparticipation","www.pdx.edu/alliance-minority-participation","alliance-minority-participation","","5"
"202","entrepreneurship","www.pdx.edu/entrepreneurship","entrepreneurship","","5"
"203","campusplanning","www.pdx.edu/campus-planning","campus-planning","","5"
"204","earlychildhoodeducationhub","ondeck.pdx.edu/early-childhood-hub","early-childhood-hub","","5"
"205","budget","www.pdx.edu/budget","budget","","5"
"206","studentsfirst","ondeck.pdx.edu/students-first","students-first","","5"
"207","womensleadershipcenter","www.pdx.edu/center-womens-leadership","center-womens-leadership","","5"
"208","criminaljusticepolicyresearch","ondeck.pdx.edu/criminal-justice-policy-research","criminal-justice-policy-research","","5"
"209","dreamers","www.pdx.edu/dreamers","dreamers","","5"
"210","internationalpartnerships","www.pdx.edu/international-partnerships","international-partnerships","","5"
