"Baltimore North Products","Baltimore and Northern Maryland","the Northeast","(555) 555-5555","Baltimore, Parkville, Bel Air, Owings Mills, Westminster, Dundalk, Gwynn Oak, Towson, Essex, Middle River"
"Baltimore North Products","Baltimore and Northern Maryland","the Northeast","(555) 555-5555","Baltimore, Parkville, Bel Air, Owings Mills, Westminster, Dundalk, Gwynn Oak, Towson, Essex, Middle River"
"Arundel / Biddeford Atlantic Products","Maine & New Hampshire","the Northeast","(555) 555-5555","Manchester NH, Portsmouth NH, Portland ME, Augusta ME, Lewiston ME, Biddeford ME, Kennebunkport ME, Salem NH, Nashua NH, Concord NH"
"Buffalo Products","Buffalo and Western New York","the Northeast","(555) 555-5555","Buffalo, Amherst, Orchard Park, Cheektowaga, Niagara Falls, West Seneca, Tonawanda, Lockport, Grand Island, Wheatfield"
"Pittsburgh Products","Pittsburgh, Eastern Ohio and Northern West Virginia","the Northeast","(555) 555-5555","Pittsburgh, Uniontown, Sharon, Mercer, South Hills, Warrendale, Cranberry, Washington, New Castle, Mars"
"Reading Products","Reading and Eastern Pennsylvania","the Northeast","(555) 555-5555","King of Prussia, Collegeville, Royersford, Boyertown, Phoenixville, Hamburg, Wyomissing, Kutztown, Oaks, Schwenksville"
"Virginia","Virginia","the Southeast","(555) 555-5555","Fairfax, Great Falls, Leesburg, Middleton, Vienna, Fairfax Station, McClean, Stafford"
"Northern Virginia Products","Northern Virginia","the Southeast","(555) 555-5555","Arlington,Leesburg,Midlothian,Richmond,Alexandria,Springfield"
"Virginia Beach Products","Virginia Beach ","the Southeast","(555) 555-5555","Chesapeake,Hampton,Newport News,Norfolk,Suffolk,Virginia Beach"
"Detroit Metro - Brand Y","Michigan","the Great Lakes","(555) 555-5555","Detroit, Ann Arbor, Lint, Warren, Saginaw, Sterling Heights, Ypsilanti, Rochester, Clinton Township, Dearborn"
"Indianapolis - Brand X","Indiana, Kentucky, and Ohio","the Central Region","(333) 333-3333","Indianapolis,Fort Wayne,Toledo,Bloomington,Lafeyette,Terre Haute,Muncie,Carmel,Greenwood,Fishers"
"Los Angeles - Western","Los Angeles","Southern California","(111) 111-1111","Commerce,Huntington Park,Los Angeles,Santa Monica"
"Carson - Western","Carson","Southern California","(111) 111-1111","Carson,Santa Fe Springs,Torrance,Santa Monica,Malibu,Redondo Beach,Long Beach,Seal Beach,Palos Verdes,Rancho Palos Verdes,Rolling Hills,Hermosa Beach,San Pedro"
"Orange County - Western","Orange County","Southern California","(111) 111-1111","Irvine,Yorba Linda,Laguna Nigel,Coto De Caza,Mission Viejo,Dana Point,Brea,Villa Park,Anaheim Hills,San Clemente"
"Riverside - Western","Riverside","Southern California","(111) 111-1111","Victorville,Hesperia,Adelanto,Apple Valley,Lucerne Valley,and Barstow"
"Hayward - Western","Hayward","The Bay Area","(111) 111-1111","Antioch,Livermore,Fremont,Oakland,Berkeley,Pleasanton,Newark,Richmond,Emeryville"
"Sacramento - Western","Sacramento","Northern California","(111) 111-1111","Sacramento,Roseville,Rocklin,Rancho Cordova,Vacaville,Fairfield,Folsom/Eldorado Hills,Chico,Yuba City,Marysville,Dixon/Davis,Auburn"
"(not set)","California ","The West Coast","(555) 555-5555","Sacramento,Hayward,Orange County,Carson,Riverside,Los Angeles"
"Metro West Pheonix","Pheonix","Southern Arizona","(111) 111-1111","Yuma,Glendale,Peoria,Buckeye,Goodyear"
"Metro East Mesa","Mesa","Southern Arizona","(111) 111-1111","Chandler,Tempe,Queen Creek,Casa Grande,Gilbert"
"Tuscon","Tuscon","Southeast Arizona","(111) 111-1111","Vail,Sahuarita,Green Valley,Nogales,Maran"
"Flemington Products","Flemington","New Jersey","(555) 555-5555","Princeton,Hillsborough,Bridgewater,Lawrence Township,Flemington,Hackettstown,Basking Ridge,Somerville,Budd Lake,Washington"
"Vineland Products","Vineland","New Jersey","(555) 555-5555","Bridgeton,Vineland,Egg Harbor Township,Atlantic City,Millville,Absecon,May's Landing,Manahawkin,Tuckerton,Hammonton"
"Cherry Hill Products","Cherry Hill","New Jersey","(555) 555-5555","Tom's River,Sicklerville,Marlton,Clementon,Brick,Mount Laurel,Blackwood,Trenton,Williamstown,Sewell"
"Jacksonville","Jacksonville","Northern Florida","(555) 555-5555","Middleburg,Gainesville,Tallahassee,Palm Coast,Saint Johns"
"Tampa","Tampa","West Central Florida","(555) 555-5555","Port Richey,Spring Hill,Palm Harbor,Tarpon Springs,Land O Lakes"
"Ft. Lauderdale","Ft. Lauderdale","Southeast Florida","(555) 555-5555","Boca Raton,Coral Springs,Fort Lauderdale,Hollywood,Port Saint Lucie,Miami"
"Miami","Miami","Southeast Florida","(555) 555-5555","Boca Raton,Coral Springs,Fort Lauderdale,Hollywood,Port Saint Lucie,Miami"
"Ft. Meyers","Ft. Meyers","Southwest Florida","(555) 555-5555","Bonita Springs,Palmetto,Bradenton,Cape Coral,Venice"
"Lake Norman Products","Lake Norman","North Carolina","(555) 555-5555","Hickory,Huntersville,Mooresville,Gastonia,Charlotte,Concord"
"Charlotte Products","Charlotte","North Carolina","(555) 555-5555","Hickory,Huntersville,Mooresville,Gastonia,Charlotte,Concord"
"Prince George's County Products","Washington DC","the Northeast","(555) 555-5555","Arlington,Alexandria,Bethesda,Hyattsville"
"Wilmington Products","Delaware","the Northeast","(555) 555-5555","Newark,New Castle,Wilmington,Dover"
"Delmarva Products","Delaware","the Northeast","(555) 555-5555","Newark,New Castle,Wilmington,Dover"
"Albany Products","Massachusetts","the Northeast","(555) 555-5555","Pittsfield,Chester,Hatfield,Richmond"
"North Boston Products","Massachusetts","the Northeast","(555) 555-5555","Springfield,Salem,Woburn,Cambridge,Andover,Medford"
"Boston Products","Massachusetts","the Northeast","(555) 555-5555","Brotckton,Plymouth,Taunton,Attleboro,South Boston"
"Oxnard - Western","Oxnard","Southern California","(111) 111-1111","Santa Barbara,Ventura,Simi Valley,Camarillo"
"Escondido - Western","San Diego","Southern California","(111) 111-1111","Escondido,Chula Vista,Oceanside,El Cajon,Vista"
"Santa Maria - Western","Santa Maria","Southern California","(111) 111-1111","San Luis Obispo,Lompoc,Paso Robles"
"Burlingame - Western","San Francisco","Northern California","(111) 111-1111","Burlingame,San Mateo,Redwood City,Daly City"
"Boise Products","Boise","the Northwest","(111) 111-1111","Twin Falls,Sun Valley,Meridian,McCall,Caldwell"
"Portland Products","Portland","the Northwest","(111) 111-1111","Salem,Beaverton,Lake Oswego,Clackamas,Portland,Vancouver,Camas"
"Seattle Products","Seattle","the Northwest","(111) 111-1111","Bellevue,Kirkland,Issaquah,Redmond,Sammamish,Mercer Island,Seattle"
"Houston Products","Houston","Texas","(111) 111-1111","Galveston,Beaumont,Katy,Port Arthur,Pearland"
"Alberta","Alberta","Alberta","(403) 231-9514","Alberta,Calgary,Edmonton"
"Vancouver","British Columbia","Vancouver","(098) 765-4321","Surrey,Richmond,Burnaby,Langley,Vancouver"
"Nova Scotia","Nova Scotia","Nova Scotia","(123) 456-7890","Halifax,Dartmouth,Bedford,Sackville,Truro,Sydney"
"Ontario","Ontario","Ontario","(000) 000-0000","Toronto,Brampton,Vaughan,Mississauga"
