SIBS,CHILDS,AGE,AGEKDBRN,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,INCOM16,HOMPOP,INCOME,INCOME16,POLVIEWS,EQWLTH,HEALTH,CONBUS,CONEDUC,CONLABOR,CONPRESS,CONTV,CONSCI,NEWS,TVHOURS,STRESSWK,HELPPOOR,WWWHR,TWITTER,FACEBOOK,INSTAGRM,LINKEDIN,TUMBLR,PINTERST,CLSSMTES,SOCMED,MNTLHLTH,CESD1,SCISTUDY,COLDEG1,SCIENTGO,SCIENTBE,RINTJOB,RHLPSOC,PROUDWRK,REALINC,REALRINC
2,3,47,29,16,18,13,3,4,1,3,5,6.5,26,4,0,2,2,2,2,2,2,2,5,1,2.5,3,15,0,0,0,0,0,0,0,0,0,0,2,2,2,2.5,3,3,3,131676.6906,164382.0376
3,0,61,0,12,8,12,1,0,1,3,1,12,19,2,3,5,3,3,1,3,3,2,4,1,2.5,3,5,0,0,0,0,0,0,0,0,3,0,2,0,2,3,3,3,3,25740,25740
3,2,72,24,16,12,8,3,1,0,1,2,12,21,6,7,2,2,2,3,3,2,1,5,3.316676351,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,3,3,3,38610,0
3,4,43,19,12,12.04782821,12,1,2,1,2,6,6.5,26,4,0,2,2,2,2,2,2,2,5,1,2.5,3,7,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,3,131676.6906,5265
2,2,55,31,18,16,12,4,3,1,4,3,6.5,26,3,3,1,1,2,2,1,2,1,5,3.316676351,3,3,14.3137931,0,0,2,3,0,0,0,5,0,1,2,0,2.5,2.5,3,1,3,131676.6906,936
2,2,53,30,14,11,12,2,2,1,4,3,12,20,3,2,5,3,2,2,3,2,2,5,1,2.5,3,2,0,0,2,0,0,0,0,2,2,0,1,1,2,2,3,3,3,31590,0
2,2,50,23,14,12,12,1,1,1,3,3,6.5,26,3,0,4,2,2,2,2,2,2,4,2,2.5,3,5,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,3,3,131676.6906,164382.0376
6,3,23,15,11,5,5,1,0,0,2,5,12,16,5,1,2,2,1,2,3,2,3,5,3.316676351,2.5,3,14.3137931,0,5,2,0,0,0,0,7,1,1,2,0,2.5,2.5,4,2,1,15210,7605
5,3,45,19,12,8,8,1,0,0,2,3,12,20,4,0,2,2,2,2,2,2,2,1,2,2.5,3,7,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,3,3,31590,9945
1,4,71,20,14,14,15,2,1,1,3,2,12,20,6,7,2,1,3,3,3,1,1,5,3.316676351,4,1,14.3137931,0,5,0,0,0,0,0,5,0,1,2,0,2.5,2.5,3,3,3,31590,0
4,5,33,18,12,12,13,1,1,0,2,4,1,1,4,1,5,3,2,2,3,3,3,5,1,2.5,1,7,0,0,0,0,0,1,0,1,0,0,2,0,2.5,2.5,3,3,3,234,0
4,4,86,19,12,12,12.13758921,1,1,2,1,1,1,1,5,0,4,2,2,2,2,2,2,5,5,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,3,234,0
3,3,32,27,12,12.04782821,12.13758921,1,2,1,2,4,8,8,3,1,5,2,2,2,2,3,2,4,7,2.5,3,50,0,5,0,0,0,0,0,5,0,0,2,0,2,1,3,3,3,4212,2106
6,5,60,16,0,12.04782821,12.13758921,1,1,2,2,2,9,10,2,1,2,2,1,2,1,1,2,5,3.316676351,2.5,3,14.3137931,0,5,0,0,0,0,0,5,0,2,2,0,2.5,2.5,3,3,3,6435,0
0,7,76,21,10,12.04782821,12.13758921,0,0,0,2,1,12,18,4,6,5,2,3,2,3,3,2,3,3,2.5,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,3,3,21060,11115
1,2,33,28,13,12,12.13758921,1,1,2,1,4,12,19,4,2,1,3,2,3,3,2,1,5,3.316676351,2.5,3,14.3137931,0,0,0,0,0,0,0,0,2,2,2,0,2.5,2.5,2,3,1,25740,12870
3,6,56,21,13,5,8,1,0,0,2,4,12,19,6,1,1,2,1,3,1,2,1,5,3.316676351,1,5,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,1,1,1,25740,9945
8,5,62,18,10,12.04782821,12.13758921,0,2,0,2,1,5,5,3,1,5,2,2,2,2,2,1,5,4,2.5,3,4,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,3,3,2574,0
2,0,31,0,18,12,14,4,1,2,3,1,12,17,2,1,5,2,3,2,3,3,2,3,1,2.5,1,15,4,5,0,3,0,0,0,12,0,0,2,0,2.5,2.5,2,1,2,17550,17550
0,2,43,30,13,16,16,1,3,3,3,1,12,15,2,0,2,2,2,2,2,2,2,5,3,2.5,3,14,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,3,3,12870,12870
1,0,58,0,12,12,12,1,1,1,3,2,12,22,2,5,5,1,2,2,3,2,1,1,3,2.5,1,15,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,3,46800,31590
4,3,32,21,11,12,12,0,1,1,3,5,12,18,5,3,1,1,2,2,3,3,2,5,3.316676351,2.5,5,14.3137931,0,5,2,0,0,1,0,8,0,1,2,0,2.5,2.5,1,1,3,21060,0
2,2,23,18,10,12.04782821,8,0,2,0,3,4,11,14,3,2,5,2,1,2,3,2,2,5,3,2.5,3,1,0,5,2,0,0,0,0,7,0,0,2,0,2.5,2.5,3,3,3,11115,2106
2,2,37,29,12,10,10,1,1,1,3,4,12,20,7,3,1,1,1,2,3,3,2,5,3.316676351,3,3,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,3,3,3,31590,25740
2,2,25,16,15,14,12.13758921,2,1,2,3,3,11,13,2,2,3,2,1,2,2,2,1,5,3.316676351,2.5,3,14.3137931,0,5,2,3,0,0,0,10,10,1,2,0,2.5,2.5,3,2,3,9945,8775
7,8,76,18,3,12.04782821,12.13758921,0,2,2,3,3,5,5,4,1,5,1,2,3,3,2,2,2,1,2.5,5,14.3137931,0,0,0,0,0,0,0,0,0,0,2,0,2.5,2.5,3,3,3,2574,0
1,2,71,30,19,12.04782821,12,4,1,1,2,2,6.5,13.5,2,0,1,2,2,2,2,2,2,1,3,2.5,3,6,0,0,0,0,0,0,0,0,0,0,3,3,2,1,3,3,3,0,0
0,0,22,0,14,12,12,1,1,1,3,3,6.5,13.5,4,2,5,2,2,2,2,2,1,5,3.316676351,2.5,1,21,4,5,2,0,0,0,0,11,0,0,2,0,2.5,2.5,5,2,2,0,0
1,2,74,28,18,17,12,4,3,1,4,1,12,23,4,5,5,2,2,2,2,2,2,1,3,2.5,3,0,0,5,0,0,0,0,0,5,30,0,2,3,3,3,3,3,3,56160,31590
7,3,75,24,12,12,12.13758921,1,1,2,3,1,12,16,6,1,2,2,3,2,3,3,2,5,3.316676351,3,3,14.3137931,0,5,0,0,0,1,1,7,7,2,2,0,2.5,2.5,3,3,3,15210,0
2,0,32,0,12,12,12,1,1,1,2,6,12,17,2,2,5,3,2,1,2,2,1,5,2,2.5,1,25,0,5,0,0,0,0,0,5,30,0,1,0,2,1,3,3,3,17550,0
3,2,68,23,12,12,12,1,1,1,3,2,12,20,4,1,2,1,1,2,2,2,1,5,3.316676351,2.5,3,14.3137931,0,5,0,0,0,0,1,6,0,1,2,0,2.5,2.5,1,2,2,31590,25740
7,3,55,24,12,12.04782821,12,1,2,1,2,3,12,25,5,0,2,2,2,2,2,2,2,1,1,2.5,3,6,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,3,3,74880,56160
0,1,46,38,14,12,16,1,1,3,2,3,12,21,5,5,3,2,2,1,2,3,1,5,3.316676351,1,2,14.3137931,0,5,0,0,0,0,1,6,0,1,2,0,2.5,2.5,3,3,3,38610,0
0,2,58,33,12,12,12,1,0,1,5,2,12,18,4,0,3,2,2,2,2,2,2,5,2,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,2,3,3,3,3,21060,0
1,0,35,0,12,12.04782821,12,1,2,1,3,2,12,22,6,6,5,2,3,3,3,3,1,5,3.316676351,2.5,4,10,4,5,2,3,0,0,1,15,1,0,1,0,2,2,3,3,3,46800,21060
2,2,59,32,16,12,12,3,1,1,3,4,12,21,6,5,5,2,2,2,2,3,2,1,2,2.5,4,5,0,0,0,3,0,0,0,3,0,0,2,0,2.5,2.5,2,1,2,38610,8775
6,2,43,30,16,12.04782821,16,3,2,3,2,4,12,23,4,0,2,2,2,2,2,2,2,3,2,2.5,3,20,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,56160,25740
1,0,58,0,16,16,16,3,3,3,3,1,12,23,6,7,1,1,2,2,3,3,2,5,3.316676351,2.5,5,14.3137931,4,5,2,3,0,1,0,15,0,1,2,0,2.5,2.5,1,1,1,56160,56160
3,1,79,39,14,12.04782821,12.13758921,1,0,2,2,1,12,16,4,1,5,2,1,2,2,3,2,1,4,2.5,2,14.3137931,0,0,0,0,0,0,0,0,30,0,3,0,2,2,3,3,3,15210,0
2,1,40,29,12,12.04782821,16,1,2,1,3,2,12,18,7,4,2,2,2,2,3,2,2,5,3.316676351,2.5,1,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,2,2,2,21060,8775
9,2,44,34,12,12.04782821,8,1,2,0,3,4,12,17,4,0,2,2,2,2,2,2,2,5,3,2.5,3,7,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3,3,17550,0
3,2,68,24,16,14,16,3,1,3,3,2,12,22,4,4,5,2,1,2,2,2,1,1,1,2.5,3,14,0,5,0,0,0,0,0,5,2,0,2,2,1,1,3,3,3,46800,0
1,0,36,0,20,20,17,4,4,4,4,1,12,16,2,1,2,3,1,2,2,2,1,5,3.316676351,2.5,1,14.3137931,0,5,0,0,0,0,0,5,0,1,2,0,2.5,2.5,1,2,1,15210,15210
1,0,70,0,17,12.04782821,12.13758921,1,1,2,3,1,9,10,4,3,5,1,1,2,3,1,1,1,8,2.5,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2.5,2.5,3,3,3,6435,0
8,0,28,0,15,12,16,1,1,3,1,1,12,21,1,2,3,2,1,2,1,2,1,5,3.316676351,1,1,14.3137931,4,5,0,3,0,0,0,12,0,1,2,0,2.5,2.5,1,1,1,38610,38610
4,0,35,0,16,12,12,3,1,1,3,1,6.5,13.5,2,5,5,1,1,2,2,2,2,1,2,2.5,3,40,0,0,2,3,0,1,0,6,0,0,1,2,1,2,3,3,3,0,0
1,0,33,0,16,16,12,4,3,1,3,2,12,19,1,0,2,2,2,2,2,2,2,1,3.316676351,2.5,3,20,0,0,0,0,0,0,0,0,0,0,1,6,2,2,3,3,3,25740,25740
1,0,23,0,17,20,18,3,4,4,4,2,12,16,3,4,1,2,2,3,2,2,1,5,3.316676351,2.5,2,14.3137931,4,5,0,3,0,0,0,12,2,1,2,0,2.5,2.5,2,2,2,15210,0
0,0,47,0,16,12.04782821,18,4,2,4,3,1,12,23,1,1,5,3,2,1,3,3,2,5,1,2.5,1,10,0,5,0,0,0,0,0,5,0,0,2,0,2.5,2.5,1,1,1,56160,56160
1,0,25,0,16,18,16,3,4,3,4,2,12,24,2,3,5,1,1,3,2,2,3,1,1,2.5,4,15,4,5,2,3,1,1,0,16,3,0,2,2,3,2,3,3,3,65520,0
1,2,70,23,12,12,12,1,1,1,3,2,12,21,1,0,1,2,2,2,2,2,2,1,2,2.5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,3,38610,0
3,0,20,0,13,16,16,1,3,3,4,6,6.5,13.5,5,5,5,1,1,2,2,1,2,5,2,2.5,5,14,4,5,2,0,0,0,0,11,0,0,2,0,2.5,2.5,4,1,2,0,936
1,2,41,37,19,14,12,4,1,1,5,4,6.5,26,4,6,2,2,2,2,2,2,1,5,3.316676351,3,4,14.3137931,4,0,0,3,0,0,0,7,0,1,2,0,2.5,2.5,2,3,3,131676.6906,164382.0376
5,3,53,30,16,12,12,3,1,1,4,2,6.5,13.5,6,0,1,2,2,2,2,2,2,5,3.316676351,2.5,3,5,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,0,2574
1,2,42,34,16,14,12,3,1,1,3,4,12,25,1,1,5,2,2,2,2,2,2,5,2,2.5,2,10,0,5,2,3,0,1,0,11,0,0,1,2,1,2,3,3,3,74880,21060
1,3,40,29,17,16,14,4,3,1,3,4,12,21,4,3,5,2,2,2,2,2,2,4,3.316676351,2.5,2,2,0,5,0,0,0,1,0,6,0,0,2,0,2.5,2.5,1,1,1,38610,11115
2,2,57,38,17,16,18,4,3,4,4,1,12,20,3,5,5,2,2,3,2,3,2,1,2,2.5,3,21,0,0,0,0,0,0,0,0,1,0,1,3,2,2,3,3,3,31590,31590
1,2,59,30,20,20,20,4,4,4,4,1,8,8,2,1,1,2,2,2,2,3,1,5,3.316676351,2.5,1,14.3137931,4,5,0,3,0,0,0,12,2,2,2,0,2.5,2.5,4,2,2,4212,4212
4,3,35,18,10,12.04782821,9,0,2,0,3,5,9,10,5,0,2,2,2,2,2,2,2,5,2,2.5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,3,6435,3042
2,0,26,0,13,12.04782821,14,1,2,2,3,1,11,13,4,1,1,1,1,1,1,2,1,5,3.316676351,2.5,2,14.3137931,0,5,2,0,0,0,0,7,0,1,2,0,2.5,2.5,2,2,3,9945,9945
3,2,35,27,12,18,12.13758921,1,1,1,1,2,1,1,6,5,5,1,1,1,2,3,1,1,7,2.5,3,72,0,0,0,3,0,0,0,3,0,0,3,0,3,2,3,3,3,234,0
9,3,51,30,12,12.04782821,12,1,2,1,3,1,8,8,4,1,3,2,1,2,2,1,2,5,3.316676351,2.5,1,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,3,3,3,4212,0
10,3,39,20,13,12,12,1,1,1,3,3,12,15,3,5,5,3,3,2,3,3,2,1,3,2.5,3,8,0,5,2,0,0,1,0,8,0,0,2,0,2.5,2.5,5,3,3,12870,9945
2,2,27,19,11,12.04782821,6,1,2,0,3,3,2,2,4,0,2,2,2,2,2,2,2,5,3.316676351,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,2,2,3,3,3,936,0
5,2,30,24,10,12,16,0,1,3,2,3,12,16,7,1,3,2,1,2,3,1,2,5,3.316676351,2,1,14.3137931,0,5,2,0,0,0,0,7,0,1,2,0,2.5,2.5,3,1,2,15210,12870
2,2,29,21,12,12.04782821,11,1,2,0,3,2,11,14,3,5,5,2,2,1,3,3,1,1,4,2.5,1,10,0,5,2,0,0,0,0,7,0,0,1,0,1,2,3,3,3,11115,11115
0,6,39,16,10,12.04782821,12.13758921,0,2,2,1,4,1,1,7,0,3,2,2,2,2,2,2,1,12,2.5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,3,3,234,0
10,3,60,25,11,4,12.13758921,0,0,2,1,4,6.5,13.5,5,0,3,2,2,2,2,2,2,3,4,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,3,3,0,0
8,4,74,17,6,12.04782821,12.13758921,0,0,0,3,1,10,12,4,0,3,2,2,2,2,2,2,3,10,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,3,3,8775,0
8,5,74,19,10,0,0,0,0,0,1,1,9,10,4,0,3,2,2,2,2,2,2,5,9,2.5,3,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,2,2,3,3,3,6435,0
4,2,57,16,14,14,18,3,3,4,1,1,12,22,4,0,2,2,2,2,2,2,2,1,1,2.5,3,14,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,3,3,46800,38610
13,1,80,40,11,12.04782821,16,1,2,2,5,1,12,19,4,4,5,2,1,2,3,2,3,1,3,2.5,5,14.3137931,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,3,3,25740,0
6,4,70,28,12,12.04782821,8,1,2,0,2,1,11,14,5,1,5,2,1,1,2,1,1,1,5,2.5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2.5,2.5,3,3,3,11115,0
1,2,35,29,18,14,8,3,1,0,4,4,12,21,3,0,1,2,2,2,2,2,2,5,3.316676351,2.5,3,21,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,38610,21060
6,4,49,18,10,12.04782821,12.13758921,0,2,2,2,2,6.5,13.5,2,1,5,2,1,2,2,1,2,5,24,2.5,1,14.3137931,0,0,0,0,0,0,0,0,0,0,3,0,2,4,3,3,3,0,0
2,0,36,0,20,20,18,4,4,4,4,1,12,19,1,0,1,2,2,2,2,2,2,1,3.316676351,2.5,3,20,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,25740,25740
1,0,37,0,18,20,18,4,4,4,3,1,12,20,1,0,2,2,2,2,2,2,2,2,3.316676351,2.5,3,10,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,31590,31590
1,0,78,0,19,19,16,4,4,3,3,2,6.5,26,1,1,1,2,2,1,2,2,1,5,3.316676351,2.5,1,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,3,3,3,131676.6906,0
2,0,41,0,12,12.04782821,12,1,2,1,3,2,6.5,13.5,4,4,2,2,2,2,3,2,2,5,3.316676351,3,3,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,2,2,2,0,0
0,2,42,35,14,9,9,2,0,0,1,4,6.5,26,3,0,2,2,2,2,2,2,2,2,1,2.5,3,12,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,3,3,131676.6906,74880
1,1,35,23,14,12.04782821,13,2,2,1,2,2,12,20,5,7,1,3,2,2,3,3,2,5,3.316676351,1,5,14.3137931,0,5,2,0,0,0,0,7,0,2,2,0,2.5,2.5,1,3,1,31590,31590
2,1,33,30,16,16,14,3,3,2,3,3,12,25,5,0,2,2,2,2,2,2,2,3,2,2.5,3,10,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,74880,56160
2,3,44,28,12,12,12,1,1,1,3,4,12,25,4,2,2,2,2,2,2,1,2,5,3.316676351,3,3,14.3137931,0,0,0,0,0,0,0,0,0,1,2,0,2.5,2.5,2,2,2,74880,38610
1,3,41,31,16,12,14,2,1,1,3,5,12,20,4,1,2,2,3,2,2,2,2,5,3.316676351,2.5,2,14.3137931,0,0,2,0,0,0,0,2,5,1,2,0,2.5,2.5,2,5,3,31590,25740
0,2,52,32,12,12,12,1,1,1,3,1,12,18,4,0,2,2,2,2,2,2,2,2,2,2.5,3,7,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,3,3,21060,21060
6,0,45,0,16,12,12,3,1,1,2,1,12,21,4,3,5,2,3,2,3,2,2,4,3,2.5,3,10,4,5,2,3,0,1,0,15,0,0,2,0,2.5,2.5,4,3,2,38610,38610
