"9016780","Algonac","48001,Michigan,United States","21155","US","Postal Code","Active","48001","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Algonac","MI","11840","yes"
"9016781","Allenton","48002,Michigan,United States","21155","US","Postal Code","Active","48002","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Allenton","MI","3236","yes"
"9016782","Almont","48003,Michigan,United States","21155","US","Postal Code","Active","48003","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Almont","MI","6035","yes"
"9016783","Armada","48005,Michigan,United States","21155","US","Postal Code","Active","48005","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Armada","MI","5471","yes"
"9016784","Avoca","48006,Michigan,United States","21155","US","Postal Code","Active","48006","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Avoca","MI","3975","yes"
"9016785","Birmingham","48009,Michigan,United States","21155","US","Postal Code","Active","48009","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Birmingham","MI","20653","yes"
"9016786","Capac","48014,Michigan,United States","21155","US","Postal Code","Active","48014","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Capac","MI","4224","yes"
"9016787","Center Line","48015,Michigan,United States","21155","US","Postal Code","Active","48015","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Center Line","MI","8313","yes"
"9016788","Clawson","48017,Michigan,United States","21155","US","Postal Code","Active","48017","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Clawson","MI","11982","yes"
"9016789","Eastpointe","48021,Michigan,United States","21155","US","Postal Code","Active","48021","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Eastpointe","MI","32576","yes"
"9016790","Emmett","48022,Michigan,United States","21155","US","Postal Code","Active","48022","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Emmett","MI","2605","yes"
"9016791","Fair Haven","48023,Michigan,United States","21155","US","Postal Code","Active","48023","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Fair Haven","MI","5083","yes"
"9016792","Franklin","48025,Michigan,United States","21155","US","Postal Code","Active","48025","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Franklin","MI","14762","yes"
"9016793","Fraser","48026,Michigan,United States","21155","US","Postal Code","Active","48026","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Fraser","MI","14620","yes"
"9016794","Goodells","48027,Michigan,United States","21155","US","Postal Code","Active","48027","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Goodells","MI","3201","yes"
"9016795","Harsens Island","48028,Michigan,United States","21155","US","Postal Code","Active","48028","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Harsens Island","MI","1081","yes"
"9016796","Hazel Park","48030,Michigan,United States","21155","US","Postal Code","Active","48030","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Hazel Park","MI","16587","yes"
"9016797","Jeddo","48032,Michigan,United States","21155","US","Postal Code","Active","48032","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Jeddo","MI","2196","yes"
"9016798","Southfield","48033,Michigan,United States","21155","US","Postal Code","Active","48033","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Southfield","MI","16420","yes"
"9016799","Southfield","48034,Michigan,United States","21155","US","Postal Code","Active","48034","239","Detroit Metro - Eradico Pest","19","Eradico","iRIS","Southfield","MI","13348","yes"
