Brand,Ehrlich,,,,,,,,
Phone Number,610-568-9032,,,,,,,,
,,,,,,,,,
Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
501,57,New York City Pest,1,Ehrlich,iRIS,Holtsville,NY,0,yes
544,57,New York City Pest,1,Ehrlich,iRIS,Holtsville,NY,0,yes
1001,56,Albany Pest,7,Ehrlich,iRIS,Agawam,MA,17423,yes
1007,68,North Boston Pest,3,Ehrlich,iRIS,Belchertown,MA,14888,yes
1008,56,Albany Pest,7,Ehrlich,iRIS,Blandford,MA,1194,yes
1009,68,North Boston Pest,3,Ehrlich,iRIS,Bondsville,MA,237,yes
1010,68,North Boston Pest,3,Ehrlich,iRIS,Brimfield,MA,3718,yes
1011,56,Albany Pest,7,Ehrlich,iRIS,Chester,MA,1523,yes
1012,56,Albany Pest,7,Ehrlich,iRIS,Chesterfield,MA,528,yes
1013,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,22943,yes
1014,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,0,yes
1020,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,30629,yes
1021,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,0,yes
1022,68,North Boston Pest,3,Ehrlich,iRIS,Chicopee,MA,2528,yes
1026,56,Albany Pest,7,Ehrlich,iRIS,Cummington,MA,1018,yes
1027,56,Albany Pest,7,Ehrlich,iRIS,Easthampton,MA,17872,yes
1028,68,North Boston Pest,3,Ehrlich,iRIS,East Longmeadow,MA,16063,yes
1029,56,Albany Pest,7,Ehrlich,iRIS,East Otis,MA,760,yes
1030,56,Albany Pest,7,Ehrlich,iRIS,Feeding Hills,MA,11278,yes
1032,56,Albany Pest,7,Ehrlich,iRIS,Goshen,MA,590,yes
1033,68,North Boston Pest,3,Ehrlich,iRIS,Granby,MA,6310,yes
1034,56,Albany Pest,7,Ehrlich,iRIS,Granville,MA,2323,yes
1036,68,North Boston Pest,3,Ehrlich,iRIS,Hampden,MA,5190,yes
1038,56,Albany Pest,7,Ehrlich,iRIS,Hatfield,MA,2853,yes
1039,56,Albany Pest,7,Ehrlich,iRIS,Haydenville,MA,1194,yes
1040,56,Albany Pest,7,Ehrlich,iRIS,Holyoke,MA,40280,yes
1041,56,Albany Pest,7,Ehrlich,iRIS,Holyoke,MA,0,yes
1050,56,Albany Pest,7,Ehrlich,iRIS,Huntington,MA,2343,yes
1053,56,Albany Pest,7,Ehrlich,iRIS,Leeds,MA,1697,yes
1056,68,North Boston Pest,3,Ehrlich,iRIS,Ludlow,MA,21352,yes
1057,68,North Boston Pest,3,Ehrlich,iRIS,Monson,MA,8773,yes
1060,56,Albany Pest,7,Ehrlich,iRIS,Northampton,MA,15407,yes
1061,56,Albany Pest,7,Ehrlich,iRIS,Northampton,MA,0,yes
1063,56,Albany Pest,7,Ehrlich,iRIS,Northampton,MA,563,yes
1066,56,Albany Pest,7,Ehrlich,iRIS,North Hatfield,MA,12,yes
1069,68,North Boston Pest,3,Ehrlich,iRIS,Palmer,MA,8753,yes
1070,56,Albany Pest,7,Ehrlich,iRIS,Plainfield,MA,562,yes
1071,56,Albany Pest,7,Ehrlich,iRIS,Russell,MA,1271,yes
1073,56,Albany Pest,7,Ehrlich,iRIS,Southampton,MA,6081,yes
1077,56,Albany Pest,7,Ehrlich,iRIS,Southwick,MA,9650,yes
1079,68,North Boston Pest,3,Ehrlich,iRIS,Thorndike,MA,811,yes
1080,68,North Boston Pest,3,Ehrlich,iRIS,Three Rivers,MA,2452,yes
1082,68,North Boston Pest,3,Ehrlich,iRIS,Ware,MA,10612,yes
1083,68,North Boston Pest,3,Ehrlich,iRIS,Warren,MA,3148,yes
1084,56,Albany Pest,7,Ehrlich,iRIS,West Chesterfield,MA,154,yes
1085,56,Albany Pest,7,Ehrlich,iRIS,Westfield,MA,41479,yes
1086,56,Albany Pest,7,Ehrlich,iRIS,Westfield,MA,690,yes
1088,56,Albany Pest,7,Ehrlich,iRIS,West Hatfield,MA,433,yes
1089,56,Albany Pest,7,Ehrlich,iRIS,West Springfield,MA,28575,yes
1090,56,Albany Pest,7,Ehrlich,iRIS,West Springfield,MA,0,yes
1092,68,North Boston Pest,3,Ehrlich,iRIS,West Warren,MA,1191,yes
1093,56,Albany Pest,7,Ehrlich,iRIS,Whately,MA,289,yes
1095,68,North Boston Pest,3,Ehrlich,iRIS,Wilbraham,MA,14569,yes
1096,56,Albany Pest,7,Ehrlich,iRIS,Williamsburg,MA,2564,yes
1097,56,Albany Pest,7,Ehrlich,iRIS,Woronoco,MA,78,yes
1098,56,Albany Pest,7,Ehrlich,iRIS,Worthington,MA,1117,yes
1101,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1102,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1103,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,2430,yes
1104,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,23183,yes
1105,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,11576,yes
1106,68,North Boston Pest,3,Ehrlich,iRIS,Longmeadow,MA,15983,yes
1107,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,11474,yes
1108,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,28449,yes
1109,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,30139,yes
1111,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1115,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1116,68,North Boston Pest,3,Ehrlich,iRIS,Longmeadow,MA,0,yes
1118,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,14293,yes
1119,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,13091,yes
1128,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,2695,yes
1129,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,7220,yes
1133,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1138,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1139,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1144,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
1151,68,North Boston Pest,3,Ehrlich,iRIS,Indian Orchard,MA,9295,yes
1152,68,North Boston Pest,3,Ehrlich,iRIS,Springfield,MA,0,yes
