Brand,Presto-X,,,,,,,,
Phone Number,402-952-2749,,,,,,,,
,,,,,,,,,
Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.
35006,94,Alabama Pest,17,Prestox,iRIS,Adger,AL,3099,yes
35011,94,Alabama Pest,17,Prestox,iRIS,Alexander City,AL,0,yes
35013,94,Alabama Pest,17,Prestox,iRIS,Allgood,AL,43,yes
35014,94,Alabama Pest,17,Prestox,iRIS,Alpine,AL,4077,yes
35015,94,Alabama Pest,17,Prestox,iRIS,Alton,AL,0,yes
35016,94,Alabama Pest,17,Prestox,iRIS,Arab,AL,15997,yes
35019,94,Alabama Pest,17,Prestox,iRIS,Baileyton,AL,2358,yes
35021,94,Alabama Pest,17,Prestox,iRIS,Bessemer,AL,0,yes
35023,94,Alabama Pest,17,Prestox,iRIS,Bessemer,AL,25049,yes
35032,94,Alabama Pest,17,Prestox,iRIS,Bon Air,AL,76,yes
35033,94,Alabama Pest,17,Prestox,iRIS,Bremen,AL,3532,yes
35034,94,Alabama Pest,17,Prestox,iRIS,Brent,AL,4804,yes
35035,94,Alabama Pest,17,Prestox,iRIS,Brierfield,AL,1203,yes
35036,94,Alabama Pest,17,Prestox,iRIS,Brookside,AL,294,yes
35038,94,Alabama Pest,17,Prestox,iRIS,Burnwell,AL,0,yes
35041,94,Alabama Pest,17,Prestox,iRIS,Cardiff,AL,0,yes
35042,94,Alabama Pest,17,Prestox,iRIS,Centreville,AL,5813,yes
35043,94,Alabama Pest,17,Prestox,iRIS,Chelsea,AL,10584,yes
35046,94,Alabama Pest,17,Prestox,iRIS,Clanton,AL,5028,yes
35048,94,Alabama Pest,17,Prestox,iRIS,Clay,AL,0,yes
35049,94,Alabama Pest,17,Prestox,iRIS,Cleveland,AL,3726,yes
35052,94,Alabama Pest,17,Prestox,iRIS,Cook Springs,AL,263,yes
35053,94,Alabama Pest,17,Prestox,iRIS,Crane Hill,AL,2614,yes
35054,94,Alabama Pest,17,Prestox,iRIS,Cropwell,AL,3974,yes
35056,94,Alabama Pest,17,Prestox,iRIS,Cullman,AL,0,yes
35058,94,Alabama Pest,17,Prestox,iRIS,Cullman,AL,9441,yes
35060,94,Alabama Pest,17,Prestox,iRIS,Docena,AL,306,yes
35061,94,Alabama Pest,17,Prestox,iRIS,Dolomite,AL,1381,yes
35062,94,Alabama Pest,17,Prestox,iRIS,Dora,AL,7670,yes
35063,94,Alabama Pest,17,Prestox,iRIS,Empire,AL,3879,yes
35064,94,Alabama Pest,17,Prestox,iRIS,Fairfield,AL,11392,yes
35070,94,Alabama Pest,17,Prestox,iRIS,Garden City,AL,276,yes
35072,94,Alabama Pest,17,Prestox,iRIS,Goodwater,AL,4647,yes
35073,94,Alabama Pest,17,Prestox,iRIS,Graysville,AL,2213,yes
35074,94,Alabama Pest,17,Prestox,iRIS,Green Pond,AL,0,yes
35077,94,Alabama Pest,17,Prestox,iRIS,Hanceville,AL,12676,yes
35078,94,Alabama Pest,17,Prestox,iRIS,Harpersville,AL,2207,yes
35079,94,Alabama Pest,17,Prestox,iRIS,Hayden,AL,8647,yes
35082,94,Alabama Pest,17,Prestox,iRIS,Hollins,AL,0,yes
35083,94,Alabama Pest,17,Prestox,iRIS,Holly Pond,AL,3611,yes
35085,94,Alabama Pest,17,Prestox,iRIS,Jemison,AL,8646,yes
35087,94,Alabama Pest,17,Prestox,iRIS,Joppa,AL,1688,yes
35089,94,Alabama Pest,17,Prestox,iRIS,Kellyton,AL,1795,yes
35091,94,Alabama Pest,17,Prestox,iRIS,Kimberly,AL,3010,yes
35097,94,Alabama Pest,17,Prestox,iRIS,Locust Fork,AL,2082,yes
35098,94,Alabama Pest,17,Prestox,iRIS,Logan,AL,1208,yes
35112,94,Alabama Pest,17,Prestox,iRIS,Margaret,AL,306,yes
35114,94,Alabama Pest,17,Prestox,iRIS,Alabaster,AL,8053,yes
35116,94,Alabama Pest,17,Prestox,iRIS,Morris,AL,4113,yes
35117,94,Alabama Pest,17,Prestox,iRIS,Mount Olive,AL,5359,yes
35118,94,Alabama Pest,17,Prestox,iRIS,Mulga,AL,3182,yes
35119,94,Alabama Pest,17,Prestox,iRIS,New Castle,AL,92,yes
35120,94,Alabama Pest,17,Prestox,iRIS,Odenville,AL,14311,yes
35123,94,Alabama Pest,17,Prestox,iRIS,Palmerdale,AL,0,yes
35128,94,Alabama Pest,17,Prestox,iRIS,Pell City,AL,10187,yes
35130,94,Alabama Pest,17,Prestox,iRIS,Quinton,AL,2959,yes
35131,94,Alabama Pest,17,Prestox,iRIS,Ragland,AL,4388,yes
35133,94,Alabama Pest,17,Prestox,iRIS,Remlap,AL,3058,yes
35135,94,Alabama Pest,17,Prestox,iRIS,Riverside,AL,1618,yes
35136,94,Alabama Pest,17,Prestox,iRIS,Rockford,AL,1960,yes
35137,94,Alabama Pest,17,Prestox,iRIS,Saginaw,AL,0,yes
35139,94,Alabama Pest,17,Prestox,iRIS,Sayre,AL,159,yes
35142,94,Alabama Pest,17,Prestox,iRIS,Shannon,AL,0,yes
35143,94,Alabama Pest,17,Prestox,iRIS,Shelby,AL,3432,yes
35144,94,Alabama Pest,17,Prestox,iRIS,Siluria,AL,0,yes
35147,94,Alabama Pest,17,Prestox,iRIS,Sterrett,AL,5861,yes
35148,94,Alabama Pest,17,Prestox,iRIS,Sumiton,AL,2822,yes
35149,94,Alabama Pest,17,Prestox,iRIS,Sycamore,AL,561,yes
35151,94,Alabama Pest,17,Prestox,iRIS,Sylacauga,AL,7172,yes
35161,94,Alabama Pest,17,Prestox,iRIS,Talladega,AL,0,yes
35171,94,Alabama Pest,17,Prestox,iRIS,Thorsby,AL,3826,yes
35172,94,Alabama Pest,17,Prestox,iRIS,Trafford,AL,3032,yes
35175,94,Alabama Pest,17,Prestox,iRIS,Union Grove,AL,5888,yes
