accounting:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=76ba10f8-0783-4311-aba1-72d11223c711','76ba10f8-0783-4311-aba1-72d11223c711'
accounting-postbaccalaureate-certificate:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=d56e7d0d-af8d-4679-a3b6-14a02ac1b2da','d56e7d0d-af8d-4679-a3b6-14a02ac1b2da'
advanced-proficiency-russian:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=9e40b409-bf5f-4e22-9bf8-f2a7e33cc511','9e40b409-bf5f-4e22-9bf8-f2a7e33cc511'
advertising-management:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=156e41a0-63d0-4d00-84d3-7a72ebc36d98','156e41a0-63d0-4d00-84d3-7a72ebc36d98'
advertising-management-minor:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=fe9fe282-f62c-4e1b-b804-b7b24ca72762','fe9fe282-f62c-4e1b-b804-b7b24ca72762'
advertising-management-minor-communication-majors:,'https://apply.pdx.edu/register/undergrad-minor?sys:field:ug_minor_inquiry=96425a86-1d18-494c-aeab-493e18e77db0','96425a86-1d18-494c-aeab-493e18e77db0'
advertising-management-minor-graphic-design-majors:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=96425a86-1d18-494c-aeab-493e18e77db0','96425a86-1d18-494c-aeab-493e18e77db0'
american-sign-language:,'https://apply.pdx.edu/register/undergrad-minor?sys:field:ug_minor_inquiry=80b6ff8c-4eae-4fb3-ab1f-d500afddc7a2','80b6ff8c-4eae-4fb3-ab1f-d500afddc7a2'
anthropology:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=eb35ee27-b6b8-4f99-a32d-e5eaf36a87a8','eb35ee27-b6b8-4f99-a32d-e5eaf36a87a8'
applied-health-and-fitness:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=a8810bca-414b-42a7-b2d3-277f63af910b','a8810bca-414b-42a7-b2d3-277f63af910b'
applied-linguistics:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=4615423d-6d9f-4e81-b847-a424d977c0e1','4615423d-6d9f-4e81-b847-a424d977c0e1'
arabic:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=ebe1fe89-07b7-4b2c-9fac-847ec5f43ee7','ebe1fe89-07b7-4b2c-9fac-847ec5f43ee7'
architecture:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=6d61c5ad-ad85-4d0d-857a-6d78bceba519','6d61c5ad-ad85-4d0d-857a-6d78bceba519'
art-design:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=e0d1a5b4-b48d-412b-8896-4df47b0d4098','e0d1a5b4-b48d-412b-8896-4df47b0d4098'
art-history:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=99e4f668-0171-481f-9a7f-05de4a6bb49e','99e4f668-0171-481f-9a7f-05de4a6bb49e'
art-history-postbaccalaureate-certificate:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=cd42bd55-7e4e-4781-b3a0-156a151fe8c0','cd42bd55-7e4e-4781-b3a0-156a151fe8c0'
art-practice:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=d71cfa89-ed30-4c43-97c9-8bba96d39006','d71cfa89-ed30-4c43-97c9-8bba96d39006'
arts-and-letters:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=5141317d-d023-40c7-830c-da1d521537a4','5141317d-d023-40c7-830c-da1d521537a4'
arts-and-letters-online:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=8eed73da-af08-4cd5-a6c1-3308a308559d','8eed73da-af08-4cd5-a6c1-3308a308559d'
athletic-and-outdoor-industry:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=9dcb576f-9245-49db-a316-af62415dc584','9dcb576f-9245-49db-a316-af62415dc584'
biochemistry:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=60036910-e15f-4f88-b473-ed3fd0ad2308','60036910-e15f-4f88-b473-ed3fd0ad2308'
biology:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=5627f501-1436-42ea-85d2-6d5dd6ad2fc6','5627f501-1436-42ea-85d2-6d5dd6ad2fc6'
black-studies:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=4680be34-1b07-4c7e-a077-f94077696268','4680be34-1b07-4c7e-a077-f94077696268'
black-studies-certificate:,'https://apply.pdx.edu/register/undergrad-program?sys:field:ug_acad_int=b37ed7a7-890e-4b8c-8818-4e7364dad17f','b37ed7a7-890e-4b8c-8818-4e7364dad17f'
