ZIP Code,City,County,Type,Population,ZIP Code
94544,Hayward,Alameda,Standard,78717,94544
94587,Union City,Alameda,Standard,74354,94587
94536,Fremont,Alameda,Standard,73876,94536
94538,Fremont,Alameda,Standard,67133,94538
94541,Hayward,Alameda,Standard,65690,94541
94501,Alameda,Alameda,Standard,63762,94501
94568,Dublin,Alameda,Standard,52599,94568
94539,Fremont,Alameda,Standard,52354,94539
94601,Oakland,Alameda,Standard,50763,94601
94550,Livermore,Alameda,Standard,50646,94550
94577,San Leandro,Alameda,Standard,47822,94577
94560,Newark,Alameda,Standard,45554,94560
94566,Pleasanton,Alameda,Standard,45001,94566
94546,Castro Valley,Alameda,Standard,44285,94546
94551,Livermore,Alameda,Standard,44285,94551
94605,Oakland,Alameda,Standard,44260,94605
94578,San Leandro,Alameda,Standard,40897,94578
94611,Oakland,Alameda,Standard,38684,94611
94606,Oakland,Alameda,Standard,38441,94606
94555,Fremont,Alameda,Standard,37657,94555
94588,Pleasanton,Alameda,Standard,35707,94588
94603,Oakland,Alameda,Standard,33952,94603
94621,Oakland,Alameda,Standard,33557,94621
94545,Hayward,Alameda,Standard,32495,94545
94610,Oakland,Alameda,Standard,31354,94610
94580,San Lorenzo,Alameda,Standard,30326,94580
94602,Oakland,Alameda,Standard,30098,94602
94608,Emeryville,Alameda,Standard,30041,94608
94704,Berkeley,Alameda,Standard,27961,94704
94607,Oakland,Alameda,Standard,26904,94607
94619,Oakland,Alameda,Standard,24536,94619
94579,San Leandro,Alameda,Standard,22452,94579
94609,Oakland,Alameda,Standard,22339,94609
94703,Berkeley,Alameda,Standard,21886,94703
94706,Albany,Alameda,Standard,21050,94706
94702,Berkeley,Alameda,Standard,17534,94702
94618,Oakland,Alameda,Standard,16566,94618
94612,Oakland,Alameda,Standard,16027,94612
94552,Castro Valley,Alameda,Standard,14887,94552
94502,Alameda,Alameda,Standard,14484,94502
94542,Hayward,Alameda,Standard,13706,94542
94705,Berkeley,Alameda,Standard,13235,94705
94707,Berkeley,Alameda,Standard,12024,94707
94709,Berkeley,Alameda,Standard,11736,94709
94708,Berkeley,Alameda,Standard,11533,94708
94710,Berkeley,Alameda,Standard,7341,94710
94720,Berkeley,Alameda,Unique,3061,94720
94586,Sunol,Alameda,Standard,936,94586
94613,Oakland,Alameda,P.O. Box,864,94613
94701,Berkeley,Alameda,P.O. Box,0,94701
94712,Berkeley,Alameda,P.O. Box,0,94712
94662,Emeryville,Alameda,P.O. Box,0,94662
94537,Fremont,Alameda,P.O. Box,0,94537
94540,Hayward,Alameda,P.O. Box,0,94540
94543,Hayward,Alameda,P.O. Box,0,94543
94557,Hayward,Alameda,P.O. Box,0,94557
94604,Oakland,Alameda,P.O. Box,0,94604
94614,Oakland,Alameda,P.O. Box,0,94614
94615,Oakland,Alameda,Standard,0,94615
94617,Oakland,Alameda,Standard,0,94617
94622,Oakland,Alameda,Unique,0,94622
94623,Oakland,Alameda,P.O. Box,0,94623
94624,Oakland,Alameda,P.O. Box,0,94624
94649,Oakland,Alameda,Unique,0,94649
94659,Oakland,Alameda,Unique,0,94659
94660,Oakland,Alameda,Unique,0,94660
94661,Oakland,Alameda,P.O. Box,0,94661
94666,Oakland,Alameda,Unique,0,94666
94620,Piedmont,Alameda,P.O. Box,0,94620
96120,Markleeville,Alpine,Standard,1097,96120
95646,Kirkwood,Alpine,P.O. Box,73,95646
95640,Ione,Amador,Standard,10609,95640
95642,Jackson,Amador,Standard,6615,95642
95665,Pine Grove,Amador,Standard,5267,95665
95666,Pioneer,Amador,Standard,4985,95666
95685,Sutter Creek,Amador,Standard,4573,95685
95669,Plymouth,Amador,Standard,2373,95669
95689,Volcano,Amador,Standard,1288,95689
95629,Fiddletown,Amador,Standard,898,95629
95675,River Pines,Amador,P.O. Box,452,95675
95699,Drytown,Amador,P.O. Box,201,95699
95601,Amador City,Amador,P.O. Box,132,95601
95644,Kit Carson,Amador,P.O. Box,0,95644
95654,Martell,Amador,P.O. Box,0,95654
95926,Chico,Butte,Standard,39032,95926
95928,Chico,Butte,Standard,36696,95928
95973,Chico,Butte,Standard,35574,95973
95966,Oroville,Butte,Standard,29583,95966
95969,Paradise,Butte,Standard,27919,95969
95965,Oroville,Butte,Standard,20637,95965
95954,Magalia,Butte,Standard,13062,95954
95948,Gridley,Butte,Standard,10796,95948
95938,Durham,Butte,Standard,4290,95938
95917,Biggs,Butte,Standard,3599,95917
95968,Palermo,Butte,Standard,1215,95968
95916,Berry Creek,Butte,Standard,1136,95916
95942,Forest Ranch,Butte,Standard,672,95942
95914,Bangor,Butte,Standard,666,95914
95941,Forbestown,Butte,Standard,644,95941
95930,Clipper Mills,Butte,Standard,182,95930
95978,Stirling City,Butte,P.O. Box,132,95978
95974,Richvale,Butte,P.O. Box,65,95974
95927,Chico,Butte,P.O. Box,0,95927
95929,Chico,Butte,Unique,0,95929
95976,Chico,Butte,Unique,0,95976
95940,Feather Falls,Butte,P.O. Box,0,95940
95958,Nelson,Butte,P.O. Box,0,95958
95967,Paradise,Butte,P.O. Box,0,95967
95252,Valley Springs,Calaveras,Standard,14981,95252
95222,Angels Camp,Calaveras,Standard,5017,95222
95249,San Andreas,Calaveras,Standard,4918,95249
95247,Murphys,Calaveras,Standard,4546,95247
95228,Copperopolis,Calaveras,Standard,4452,95228
95223,Arnold,Calaveras,Standard,3004,95223
95245,Mokelumne Hill,Calaveras,Standard,2005,95245
95255,West Point,Calaveras,Standard,1593,95255
95254,Wallace,Calaveras,P.O. Box,1093,95254
95246,Mountain Ranch,Calaveras,Standard,1001,95246
95251,Vallecito,Calaveras,Standard,604,95251
95233,Hathaway Pines,Calaveras,P.O. Box,539,95233
95257,Wilseyville,Calaveras,Standard,441,95257
95225,Burson,Calaveras,P.O. Box,436,95225
95224,Avery,Calaveras,P.O. Box,184,95224
95248,Rail Road Flat,Calaveras,P.O. Box,148,95248
95232,Glencoe,Calaveras,Standard,105,95232
95226,Campo Seco,Calaveras,P.O. Box,15,95226
95221,Altaville,Calaveras,P.O. Box,0,95221
95229,Douglas Flat,Calaveras,P.O. Box,0,95229
95932,Colusa,Colusa,Standard,7669,95932
95987,Williams,Colusa,Standard,6050,95987
95912,Arbuckle,Colusa,Standard,4830,95912
95955,Maxwell,Colusa,P.O. Box,1354,95955
95979,Stonyford,Colusa,Standard,729,95979
95970,Princeton,Colusa,Standard,572,95970
95950,Grimes,Colusa,P.O. Box,461,95950
94565,Pittsburg,Contra Costa,Standard,93549,94565
94509,Antioch,Contra Costa,Standard,66741,94509
94806,San Pablo,Contra Costa,Standard,63660,94806
94513,Brentwood,Contra Costa,Standard,61300,94513
94553,Martinez,Contra Costa,Standard,49748,94553
94521,Concord,Contra Costa,Standard,43850,94521
94531,Antioch,Contra Costa,Standard,43285,94531
94582,San Ramon,Contra Costa,Standard,41073,94582
94561,Oakley,Contra Costa,Standard,40905,94561
94804,Richmond,Contra Costa,Standard,40640,94804
94520,Concord,Contra Costa,Standard,39027,94520
94583,San Ramon,Contra Costa,Standard,35244,94583
94523,Pleasant Hill,Contra Costa,Standard,34905,94523
94526,Danville,Contra Costa,Standard,32850,94526
94801,Richmond,Contra Costa,Standard,29974,94801
94549,Lafayette,Contra Costa,Standard,29547,94549
94518,Concord,Contra Costa,Standard,27967,94518
94598,Walnut Creek,Contra Costa,Standard,27398,94598
94803,El Sobrante,Contra Costa,Standard,25798,94803
94530,El Cerrito,Contra Costa,Standard,25289,94530
94547,Hercules,Contra Costa,Standard,25260,94547
94506,Danville,Contra Costa,Standard,24895,94506
94597,Walnut Creek,Contra Costa,Standard,23030,94597
94596,Walnut Creek,Contra Costa,Standard,20881,94596
94563,Orinda,Contra Costa,Standard,19179,94563
94564,Pinole,Contra Costa,Standard,19162,94564
94519,Concord,Contra Costa,Standard,19101,94519
94595,Walnut Creek,Contra Costa,Standard,17632,94595
94556,Moraga,Contra Costa,Standard,16249,94556
94507,Alamo,Contra Costa,Standard,15829,94507
94505,Discovery Bay,Contra Costa,Standard,15780,94505
94805,Richmond,Contra Costa,Standard,15076,94805
94517,Clayton,Contra Costa,Standard,13244,94517
94572,Rodeo,Contra Costa,Standard,10174,94572
