Criteria ID,Name ,CName,Parent ID,Country Code,Target Type ,Status,Zip Code,District,Name,Region,Brand,System,City,State,Population,New Res.,Zipcode by Name and Pop,County Name,County Zipcode by Largest Pop
9057119,Alameda County,"Alameda County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Alameda,94544
9057120,Alpine County,"Alpine County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Alpine,96120
9057121,Amador County,"Amador County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Amador,95640
9057122,Butte County,"Butte County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Butte,95926
9057123,Calaveras County,"Calaveras County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Calaveras,95252
9057124,Colusa County,"Colusa County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Colusa,95932
9057125,Contra Costa County,"Contra Costa County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Contra Costa,94565
9057126,Del Norte County,"Del Norte County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Del Norte,95531
9057127,El Dorado County,"El Dorado County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,El Dorado,95762
9057128,Fresno County,"Fresno County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Fresno,93722
9057129,Glenn County,"Glenn County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Glenn,95963
9057130,Humboldt County,"Humboldt County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Humboldt,95503
9057131,Imperial County,"Imperial County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Imperial,92243
9057132,Inyo County,"Inyo County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Inyo,93514
9057133,Kern County,"Kern County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Kern,93307
9057134,Kings County,"Kings County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Kings,93230
9057135,Lake County,"Lake County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Lake,95422
9057136,Lassen County,"Lassen County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Lassen,96130
9057137,Los Angeles County,"Los Angeles County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Los Angeles,90011
9057138,Madera County,"Madera County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Madera,93638
9057139,Marin County,"Marin County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Marin,94901
9057140,Mariposa County,"Mariposa County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Mariposa,95338
9057141,Mendocino County,"Mendocino County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Mendocino,95482
9057142,Merced County,"Merced County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Merced,93635
9057143,Modoc County,"Modoc County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Modoc,96101
9057144,Mono County,"Mono County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Mono,93546
9057145,Monterey County,"Monterey County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Monterey,93906
9057146,Napa County,"Napa County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Napa,94558
9057147,Nevada County,"Nevada County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Nevada,95945
9057148,Placer County,"Placer County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Placer,95747
9057149,Plumas County,"Plumas County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Plumas,95971
9057150,Riverside County,"Riverside County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Riverside,92503
9057151,Sacramento County,"Sacramento County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Sacramento,95823
9057152,San Benito County,"San Benito County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Benito,95023
9057153,San Bernardino County,"San Bernardino County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Bernardino,92335
9057154,San Diego County,"San Diego County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Diego,92154
9057155,San Francisco County,"San Francisco County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Francisco,94112
9057156,San Joaquin County,"San Joaquin County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Joaquin,95206
9057157,San Luis Obispo County,"San Luis Obispo County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Luis Obispo,93446
9057158,San Mateo County,"San Mateo County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,San Mateo,94080
9057159,Santa Barbara County,"Santa Barbara County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Santa Barbara,93117
9057160,Santa Clara County,"Santa Clara County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Santa Clara,95035
9057161,Santa Cruz County,"Santa Cruz County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Santa Cruz,95076
9057162,Shasta County,"Shasta County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Shasta,96003
9057163,Sierra County,"Sierra County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Sierra,96118
9057164,Siskiyou County,"Siskiyou County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Siskiyou,96097
9057165,Solano County,"Solano County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Solano,94533
9057166,Sonoma County,"Sonoma County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Sonoma,95403
9057167,Stanislaus County,"Stanislaus County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Stanislaus,95355
9057168,Sutter County,"Sutter County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Sutter,95991
9057169,Tehama County,"Tehama County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Tehama,96080
9057170,Trinity County,"Trinity County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Trinity,96093
9057171,Tulare County,"Tulare County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Tulare,93257
9057172,Tuolumne County,"Tuolumne County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Tuolumne,95370
9057173,Ventura County,"Ventura County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Ventura,93033
9057174,Yolo County,"Yolo County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Yolo,95616
9057175,Yuba County,"Yuba County,California,United States",21137,US,County,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,Yuba,95901
9061180,La Jolla,"La Jolla,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),92037,,
9061181,Point Loma,"Point Loma,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061182,Mission Valley,"Mission Valley,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061183,Mid-City,"Mid-City,San Diego County,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061184,Pacific Beach,"Pacific Beach,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061185,Mission Beach,"Mission Beach,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061186,Mission Bay,"Mission Bay,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061187,Del Mar Heights,"Del Mar Heights,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061188,North City,"North City,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061189,Carmel Valley,"Carmel Valley,San Diego County,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),93924,,
9061190,Sorrento Valley,"Sorrento Valley,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061191,University City,"University City,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061192,Bay Ho,"Bay Ho,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061193,Bay Park,"Bay Park,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061194,Morena,"Morena,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061195,Linda Vista,"Linda Vista,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061196,Birdland,"Birdland,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061197,Serra Mesa,"Serra Mesa,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061198,Kearny Mesa,"Kearny Mesa,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061199,Miramar,"Miramar,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061200,Mira Mesa,"Mira Mesa,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061201,Rancho Penasquitos,"Rancho Penasquitos,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061202,Torrey Highlands,"Torrey Highlands,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061203,Black Mountain Ranch,"Black Mountain Ranch,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061204,Carmel Mountain Ranch,"Carmel Mountain Ranch,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061205,Rancho Bernardo,"Rancho Bernardo,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061206,San Pasqual Valley,"San Pasqual Valley,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
9061207,Sabre Springs,"Sabre Springs,California,United States",21137,US,Neighborhood,Active,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),#N/A,,
