URL,Last crawled
https://www.pdx.edu/music-theater/admissions/music-theater/jazz,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/research/housing/portland-state-university-history,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/research/housing/mcnair-program/,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/research/housing/exito/,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/research/housing/admissions/,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/research/housing/health-counseling/,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/research/housing/admissions/public-health,2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/dean-student-life/news?page=1,2023-12-12
https://www.pdx.edu/center-for-public-service/tribal-government/tribal-government/community-environmental-services/consulting-and-research-services,2023-12-12
https://www.pdx.edu/housing/taxonomy/term/516/feed,2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/student-government/news?page=1,2023-12-12
https://www.pdx.edu/child-language-learning-center/president/calendar/day?tid=research,2023-12-12
https://www.pdx.edu/turkish-studies-center/education/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/exito/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
"https://www.pdx.edu/liberal-arts-sciences/news?page=0&tid=%22economy, 
business and finance%22",2023-12-12
https://www.pdx.edu/syndication/careers/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
"https://www.pdx.edu/turkish-studies-center/alumni/calendar/week?tid=local 
events",2023-12-12
https://www.pdx.edu/early-childhood-hub/student-union/visit/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s59jfd,2023-12-12
https://www.pdx.edu/transfer-center/learning-center/trio-student-support-services/writing-center/sites/transfercenter.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s59k35,2023-12-12
https://www.pdx.edu/turkish-studies-center/careers/calendar/week?tid=academic,2023-12-12
https://www.pdx.edu/early-childhood-hub/urban-public-affairs/news?tid=weather,2023-12-12
https://www.pdx.edu/early-childhood-hub/student-life/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s59jfd,2023-12-12
https://www.pdx.edu/education-abroad/visit/sites/educationabroad.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s50o2m,2023-12-12
https://www.pdx.edu/turkish-studies-center/research/news/parents-can-influence-childrens-choice-and-success-stem-major-psu-study-finds,2023-12-12
https://www.pdx.edu/transportation-lab/alumni/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/nano-interfaces/taxonomy/term/371/feed,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/urban-public-affairs/news?tid=grants,2023-12-12
"https://www.pdx.edu/child-language-learning-center/transfer-center/calendar/week?tid=colleges 
%26 schools",2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/student-union/news?page=0&tid=PSU 
News",2023-12-12
https://www.pdx.edu/early-childhood-hub/international-students/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/admissions/news/computerworld-names-psus-office-information-technology-2024-list-best-places-work-it,2023-12-12
https://www.pdx.edu/psychology/sites/psychology.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s34po1,2023-12-12
https://www.pdx.edu/electrical-computer-engineering/calendar/week?tid=fitness,2023-12-12
https://www.pdx.edu/early-childhood-hub/queer-resource-center/gradschool/news/psu-joins-nationwide-effort-financial-aid-transparency,2023-12-12
https://www.pdx.edu/geography/liberal-arts-sciences/news/currently-accolades-presented-may-8-2023,2023-12-12
https://www.pdx.edu/early-childhood-hub/education-abroad/news/end-2021-legislative-session-update,2023-12-12
https://www.pdx.edu/syndication/visit/news/hamilton-cheifetz-named-florestan-professor-cello,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/president/news?tid=people,2023-12-12
https://www.pdx.edu/early-childhood-hub/veterans-resource-center/news/will-last-summers-fires-impact-critical-water-supplies,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/liberal-arts-sciences/housing/student-life/events/steps-pdx-presents-nightmare-christmas-0,2023-12-12
https://www.pdx.edu/transportation-lab/alumni/calendar/day,2023-12-12
https://www.pdx.edu/syndication/business/news/citizen-scientists-200-years-ago-and-today-help-shed-light-climate-change-trends,2023-12-12
https://www.pdx.edu/syndication/health-counseling/news/how-supervisors-can-create-better-work-environment-deaf-or-hard-hearing-employees,2023-12-12
https://www.pdx.edu/syndication/health-counseling/news/recent-grad-launches-successful-cookie-brand-while-business-student,2023-12-12
https://www.pdx.edu/geology/news/currently-accolades-grants-november-13-2023,2023-12-12
https://www.pdx.edu/early-childhood-hub/learning-center/news?tid=grants,2023-12-12
https://www.pdx.edu/student-affairs-technology/visit/,2023-12-12
https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/student-finance/news/dr-alfonso-garcia-arriola-psu-alumnus-will-work-science-education-policy-congress-albert,2023-12-12
"https://www.pdx.edu/liberal-arts-sciences/news?page=1&tid=%22economy, 
business and finance%22",2023-12-12
