"crit","zip"
"9001634","01001"
"9001635","01002"
"9001636","01003"
"9001637","01005"
"9001638","01007"
"9001639","01008"
"9001640","01009"
"9001641","01010"
"9001642","01011"
"9001643","01012"
"9001644","01013"
"9001645","01020"
"9001646","01022"
"9001647","01026"
"9001648","01027"
"9001649","01028"
"9001650","01029"
"9001651","01030"
"9001652","01031"
"9001653","01032"
"9001654","01033"
"9001655","01034"
"9001656","01035"
"9001657","01036"
"9001658","01037"
"9001659","01038"
"9001660","01039"
"9001661","01040"
"9001662","01050"
"9001663","01053"
"9001664","01054"
"9001665","01056"
"9001666","01057"
"9001667","01060"
"9001668","01062"
"9001669","01063"
"9001670","01066"
"9001671","01068"
"9001672","01069"
"9001673","01070"
"9001674","01071"
"9001675","01072"
"9001676","01073"
"9001677","01075"
"9001678","01077"
"9001679","01079"
"9001680","01080"
"9001681","01081"
"9001682","01082"
"9001683","01083"
"9001684","01084"
"9001685","01085"
"9001686","01088"
"9001687","01089"
"9001688","01092"
"9001689","01094"
"9001690","01095"
"9001691","01096"
"9001692","01098"
"9001693","01101"
"9001694","01103"
"9001695","01104"
"9001696","01105"
"9001697","01106"
"9001698","01107"
"9001699","01108"
"9001700","01109"
"9001702","01118"
"9001703","01119"
"9001704","01128"
"9001705","01129"
"9001706","01144"
"9001707","01151"
"9001708","01152"
"9001709","01199"
"9001710","01201"
"9001711","01220"
"9001712","01222"
"9001713","01223"
"9001714","01224"
"9001715","01225"
"9001716","01226"
"9001717","01229"
"9001718","01230"
"9001719","01235"
"9001720","01236"
"9001721","01237"
"9001722","01238"
"9001723","01240"
"9001724","01242"
"9001725","01243"
"9001726","01245"
"9001727","01247"
"9001728","01253"
"9001729","01254"
"9001730","01255"
"9001731","01256"
"9001732","01257"
"9001733","01258"
"9001734","01259"
"9001735","01262"
"9001736","01263"
"9001737","01264"
"9001738","01266"
"9001739","01267"
"9001740","01270"
"9001741","01301"
"9001742","01330"
"9001743","01331"
"9001744","01337"
"9001745","01338"
"9001746","01339"
"9001747","01340"
"9001748","01341"
"9001749","01342"
"9001750","01343"
"9001751","01344"
"9001752","01346"
"9001753","01347"
"9001754","01349"
"9001755","01350"
"9001756","01351"
"9001757","01354"
"9001758","01355"
"9001759","01360"
"9001760","01364"
"9001761","01366"
"9001762","01367"
"9001763","01368"
"9001764","01370"
"9001765","01373"
"9001766","01375"
"9001767","01376"
"9001768","01378"
"9001769","01379"
"9001770","01380"
"9001771","01420"
"9001772","01430"
"9001773","01431"
"9001774","01432"
"9001775","01434"
"9001776","01436"
"9001777","01438"
"9001778","01440"
"9001779","01450"
"9001780","01451"
"9001781","01452"
"9001782","01453"
"9001783","01460"
"9001784","01462"
"9001785","01463"
"9001786","01464"
"9001787","01468"
"9001788","01469"
"9001789","01471"
"9001790","01473"
"9001791","01474"
"9001792","01475"
"9001793","01501"
"9001794","01503"
"9001795","01504"
"9001796","01505"
"9001797","01506"
"9001798","01507"
"9001799","01510"
"9001800","01515"
"9001801","01516"
"9001802","01518"
"9001803","01519"
"9001804","01520"
"9001805","01521"
"9001806","01522"
"9001807","01523"
"9001808","01524"
"9001809","01527"
"9001810","01529"
"9001811","01531"
"9001812","01532"
"9001813","01534"
"9001814","01535"
"9001815","01536"
"9001816","01537"
"9001817","01540"
"9001818","01541"
"9001819","01542"
"9001820","01543"
"9001821","01545"
"9001822","01546"
"9001823","01550"
"9001824","01560"
"9001826","01562"
"9001827","01564"
"9001828","01566"
"9001829","01568"
"9001830","01569"
"9001831","01570"
"9001832","01571"
"9001833","01580"
"9001834","01581"
"9001835","01582"
"9001836","01583"
"9001837","01585"
"9001838","01588"
"9001839","01590"
"9001840","01602"
"9001841","01603"
"9001842","01604"
"9001843","01605"
"9001844","01606"
"9001845","01607"
"9001846","01608"
"9001847","01609"
"9001848","01610"
"9001849","01611"
"9001850","01612"
"9001851","01613"
"9001852","01653"
"9001853","01701"
"9001854","01702"
"9001855","01718"
"9001856","01719"
"9001857","01720"
"9001858","01721"
"9001859","01730"
"9001860","01731"
"9001861","01740"
"9001862","01741"
"9001863","01742"
"9001864","01745"
"9001865","01746"
"9001866","01747"
"9001867","01748"
"9001868","01749"
"9001869","01752"
"9001870","01754"
"9001871","01756"
"9001872","01757"
"9001873","01760"
"9001874","01770"
"9001875","01772"
"9001876","01773"
"9001877","01775"
"9001878","01776"
"9001879","01778"
"9001880","01801"
"9001881","01803"
"9001882","01810"
"9001883","01821"
"9001884","01824"
"9001885","01826"
"9001886","01827"
"9001887","01830"
"9001888","01832"
"9001889","01833"
"9001890","01834"
"9001891","01835"
"9001892","01840"
"9001893","01841"
"9001894","01843"
"9001895","01844"
"9001896","01845"
"9001897","01850"
"9001898","01851"
"9001899","01852"
"9001901","01854"
"9001902","01860"
"9001903","01862"
"9001904","01863"
"9001905","01864"
"9001906","01867"
"9001907","01876"
"9001908","01879"
"9001909","01880"
"9001910","01886"
"9001911","01887"
"9001912","01889"
"9001913","01890"
"9001915","01901"
"9001916","01902"
"9001917","01904"
"9001918","01905"
"9001919","01906"
"9001920","01907"
"9001921","01908"
"9001922","01913"
"9001923","01915"
"9001924","01921"
"9001925","01922"
"9001926","01923"
"9001927","01929"
"9001928","01930"
"9001929","01938"
"9001930","01940"
"9001931","01944"
"9001932","01945"
"9001933","01949"
"9001934","01950"
"9001935","01951"
"9001936","01952"
"9001937","01960"
"9001938","01965"
"9001939","01966"
"9001940","01969"
"9001941","01970"
"9001942","01982"
"9001943","01983"
"9001944","01984"
"9001945","01985"
"9001946","02019"
"9001947","02021"
"9001948","02025"
"9001949","02026"
"9001950","02030"
"9001951","02032"
"9001952","02035"
"9001953","02038"
"9001954","02043"
"9001955","02045"
"9001956","02047"
"9001957","02048"
"9001958","02050"
"9001959","02051"
"9001960","02052"
"9001961","02053"
"9001962","02054"
"9001963","02056"
"9001964","02061"
"9001965","02062"
"9001966","02066"
"9001967","02067"
"9001968","02071"
"9001969","02072"
"9001970","02081"
"9001971","02090"
"9001972","02093"
"9001973","02108"
"9001974","02109"
"9001975","02110"
"9001976","02111"
"9001977","02113"
"9001978","02114"
"9001979","02115"
"9001980","02116"
"9001981","02118"
"9001982","02119"
"9001983","02120"
"9001984","02121"
"9001985","02122"
"9001986","02124"
"9001987","02125"
"9001988","02126"
"9001989","02127"
"9001990","02128"
"9001991","02129"
"9001992","02130"
"9001993","02131"
"9001994","02132"
"9001995","02133"
"9001996","02134"
"9001997","02135"
"9001998","02136"
"9001999","02138"
"9002000","02139"
"9002001","02140"
"9002002","02141"
"9002003","02142"
"9002004","02143"
"9002005","02144"
"9002006","02145"
"9002007","02148"
"9002008","02149"
"9002009","02150"
"9002010","02151"
"9002011","02152"
"9002012","02155"
"9002013","02163"
"9002014","02169"
"9002015","02170"
"9002016","02171"
"9002017","02176"
"9002018","02180"
"9002019","02184"
"9002020","02186"
"9002021","02188"
"9002022","02189"
"9002023","02190"
"9002024","02191"
"9002025","02199"
"9002026","02201"
"9002027","02205"
"9002028","02210"
"9002029","02215"
"9002030","02301"
"9002031","02302"
"9002032","02322"
"9002033","02324"
"9002034","02330"
"9002035","02331"
"9002036","02332"
"9002037","02333"
"9002038","02338"
"9002039","02339"
"9002040","02341"
"9002041","02343"
"9002042","02346"
"9002043","02347"
"9002044","02351"
"9002045","02356"
"9002046","02357"
"9002047","02359"
"9002048","02360"
"9002049","02364"
"9002050","02367"
"9002051","02368"
"9002052","02370"
"9002053","02375"
"9002054","02379"
"9002055","02382"
"9002056","02420"
"9002057","02421"
"9002058","02445"
"9002059","02446"
"9002060","02451"
"9002061","02452"
"9002062","02453"
"9002064","02458"
"9002065","02459"
"9002066","02460"
"9002067","02461"
"9002068","02462"
"9002069","02464"
"9002070","02465"
"9002071","02466"
"9002072","02467"
"9002073","02468"
"9002074","02472"
"9002075","02474"
"9002076","02476"
"9002077","02478"
"9002078","02481"
"9002079","02482"
"9002080","02492"
"9002081","02493"
"9002082","02494"
"9002083","02532"
"9002084","02534"
"9002085","02535"
"9002086","02536"
"9002087","02537"
"9002088","02538"
"9002089","02539"
"9002090","02540"
"9002091","02542"
"9002092","02543"
"9002093","02553"
"9002094","02554"
"9002095","02556"
"9002096","02557"
"9002097","02558"
"9002098","02559"
"9002099","02561"
"9002100","02562"
"9002101","02563"
"9002102","02564"
"9002103","02568"
"9002104","02571"
"9002106","02576"
"9002107","02601"
"9002108","02630"
"9002109","02631"
"9002110","02632"
"9002111","02633"
"9002112","02635"
"9002113","02638"
"9002114","02639"
"9002115","02642"
"9002117","02644"
"9002118","02645"
"9002119","02646"
"9002120","02647"
"9002121","02648"
"9002122","02649"
