District Code ,Branch Name ,Service Area,Service Region,Phone Number ,Geoblock Locations
118,Jacksonville,Jacksonville,Northern Florida,(610) 288-0965,"Middleburg,Gainesville,Tallahassee,Palm Coast,Saint Johns"
52,Tampa,Tampa,West Central Florida,(610) 288-0965,"Port Richey,Spring Hill,Palm Harbor,Tarpon Springs,Land O Lakes"
58,Ft. Lauderdale,Ft. Lauderdale,Southeast Florida,(610) 288-0965,"Hollywood,West Palm Beach, Port Saint Lucie, Lake Worth, Pompano Beach"
99,Miami,Miami,Southeast Florida,(610) 288-0965,"Hialeah,Homestead,Opa Locka,Miami Beach,Miami Gardens"
51,Ft. Meyers,Ft. Meyers,Southwest Florida,(610) 288-0965,"Bonita Springs,Palmetto,Bradenton,Cape Coral,Venice"
266,Tuscon,Tuscon,Southeast Arizona,(714) 507-7025,"Vail,Sahuarita,Green Valley,Nogales,Maran"
264,Metro East Mesa,Mesa,Southern Arizona ,(714) 507-7025,"Chandler,Tempe,Queen Creek,Casa Grande,Gilbert"
263,Metro West Pheonix,Pheonix,Southern Arizona ,(714) 507-7025,"Yuma,Glendale,Peoria,Buckeye,Goodyear"
401,Charlotte Pest,Charlotte,North Carolina,(610) 288-0965,"Concord,Campbell,Matthews,Gastonia,Varnville"
273,Lake Norman Pest,Lake Norman,North Carolina,(610) 288-0965,"Huntersville,Hickory,Satesville,Lincolntown,Mooresville,Cornelius"
