Accounting,Undergraduate Degree,https://www.pdx.edu/academics/programs/undergraduate/accounting,Business and Marketing,pdx001,pdx.emsicc.com/program-code/pdx001,"<!-- Accounting -->
  <div id=""program-widget-1c9668-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-1c9668',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx001',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Accounting%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Accounting Postbaccalaureate Certificate,Certificate,https://www.pdx.edu/academics/programs/undergraduate/accounting-postbaccalaureate-certificate,Business and Marketing,pdx002,pdx.emsicc.com/program-code/pdx002,"<!-- Accounting Postbaccalaureate Certificate -->
  <div id=""program-widget-699ef6-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-699ef6',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx002',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Accounting%20Postbaccalaureate%20Certificate%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Advanced Proficiency in Russian,Undergraduate Degree,https://www.pdx.edu/academics/programs/undergraduate/advanced-proficiency-russian,Liberal Arts,pdx003,pdx.emsicc.com/program-code/pdx003,"<!-- Advanced Proficiency in Russian -->
  <div id=""program-widget-5098b2-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-5098b2',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx003',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Advanced%20Proficiency%20in%20Russian%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Advertising Management,Undergraduate Degree,https://www.pdx.edu/academics/programs/undergraduate/advertising-management,Business and Marketing,pdx004,pdx.emsicc.com/program-code/pdx004,"<!-- Advertising Management -->
  <div id=""program-widget-d50509-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-d50509',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx004',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Advertising%20Management%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Advertising Management Minor for Communication Majors,Minor,https://www.pdx.edu/academics/programs/undergraduate/advertising-management-minor-communication-majors,Business and Marketing,pdx005,pdx.emsicc.com/program-code/pdx005,"<!-- Advertising Management Minor for Communication Majors -->
  <div id=""program-widget-224354-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-224354',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx005',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Advertising%20Management%20Minor%20for%20Communication%20Majors%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Advertising Management Minors,Minor,https://www.pdx.edu/academics/programs/undergraduate/advertising-management-minor-graphic-design-majors,Business and Marketing,pdx006,pdx.emsicc.com/program-code/pdx006,"<!-- Advertising Management Minors -->
  <div id=""program-widget-b8c7bf-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-b8c7bf',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx006',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Advertising%20Management%20Minors%20%7C%20Portland%20State%20University%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
African Studies,Undergraduate Degree,https://www.pdx.edu/academics/programs/undergraduate/african-studies,Liberal Arts,pdx007,pdx.emsicc.com/program-code/pdx007,"<!-- African Studies -->
  <div id=""program-widget-d0698c-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-d0698c',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx007',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23African%20Studies%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
American Sign Language Minor,Undergraduate Degree,https://www.pdx.edu/academics/programs/undergraduate/american-sign-language,Liberal Arts,pdx008,pdx.emsicc.com/program-code/pdx008,"<!-- American Sign Language Minor -->
  <div id=""program-widget-043629-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-043629',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx008',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23American%20Sign%20Language%20Minor%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Anthropology,Undergraduate Degree,https://www.pdx.edu/academics/programs/undergraduate/anthropology,"Law, Government and Public Service",pdx009,pdx.emsicc.com/program-code/pdx009,"<!-- Anthropology -->
  <div id=""program-widget-1eb81a-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-1eb81a',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx009',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Anthropology%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
Anthropology,Graduate Program,https://www.pdx.edu/academics/programs/graduate/anthropology,"Law, Government and Public Service",pdx010,pdx.emsicc.com/program-code/pdx010,"<!-- Anthropology -->
  <div id=""program-widget-19e03f-wrapper"" style=""height:100%"" >
  <script type=""text/javascript"" src=""https://widget.emsicc.com/scripts.js""></script>
  <script> generateWidget({clientId:'pdx',hasAllLocations:'true',hasCareerList:'false',hasEmployment:'true',hasImages:'true',hasJobOpenings:'true',hasNationalData:'true',hasOutlook:'true',hasSkills:'true',hasVisitButton:'false',hasWages:'true',id:'program-widget-19e03f',isHourlyWage:'false',labelSet:'default',locationName:'Portland',orderCareersBy:'None',primaryColor:'%236A7F11',programs:'pdx010',
  title:'pdx widget',visitButtonColor:'%236A7F11',headingText:'At%20Portland%20State%20University%2C%20our%20students%20who%20study%20%23Anthropology%23%20can%20go%20into%20these%20careers%3A'})
  </script>
  </div>"
